fid,shapeName,shapeID,shapeGroup,shapeType,prov_id,ownerCountry,population,recruitablePopulation,economyValue,infrastructure,supplyLimit,terrainType,food,steel,coal,oil,aluminium,chromium,tungsten,rubber,civilianFactories,militaryFactories,dockyards,refineries,resistance,compliance,stationedTroops
65,Elazığ,25984515B73855241915553,TUR,ADM1,66,TUR,600000,108000,22,40,675,Mountain,5,0,0,0,0,5,0,0,0,0,0,0,0,70,0
66,Erzincan,25984515B21238382887484,TUR,ADM1,67,TUR,240000,43200,14,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
67,Erzurum,25984515B50530672954016,TUR,ADM1,68,TUR,750000,135000,42,44,802,Mountain,3,0,0,0,0,0,0,0,1,0,0,0,0,70,0
68,Eskişehir,25984515B12971548112787,TUR,ADM1,69,TUR,900000,162000,72,76,1950,Plains,7,5,0,0,0,3,0,0,4,3,0,0,0,70,0
69,Gaziantep,25984515B63001774148772,TUR,ADM1,70,TUR,2170000,390600,92,78,2688,Urban,12,2,0,0,0,0,0,0,5,2,0,0,0,70,0
70,Giresun,25984515B57211123653900,TUR,ADM1,71,TUR,450000,81000,31,60,1419,Coastal,7,0,0,0,0,0,0,0,1,0,0,0,0,70,0
71,Gümüşhane,25984515B36227448932647,TUR,ADM1,72,TUR,145000,26100,12,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
72,Hakkâri,25984515B57889067347253,TUR,ADM1,73,TUR,280000,50400,14,32,517,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
73,Hatay,25984515B95117543422129,TUR,ADM1,74,TUR,1680000,302400,64,66,2046,Coastal,13,8,0,0,0,0,0,0,3,1,2,0,0,70,0
74,Iğdır,25984515B20089439873245,TUR,ADM1,75,TUR,210000,37800,19,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
75,Isparta,25984515B9026957888422,TUR,ADM1,76,TUR,450000,81000,18,39,622,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
76,İstanbul,25984515B18786507826220,TUR,ADM1,77,TUR,15800000,2844000,165,95,3500,Urban,8,6,0,1,0,0,0,0,9,5,6,0,0,70,0
77,İzmir,25984515B59477790330217,TUR,ADM1,78,TUR,4460000,802800,125,90,3500,Urban,15,5,0,1,0,0,0,0,7,4,4,1,0,70,0
78,Kahramanmaraş,25984515B58862484177861,TUR,ADM1,79,TUR,1180000,212400,56,47,945,Mountain,10,0,5,0,0,0,0,0,2,1,0,0,0,70,0
79,Karabük,25984515B55399473509250,TUR,ADM1,80,TUR,250000,45000,46,52,1210,Forest,2,12,3,0,0,0,0,0,2,1,0,0,0,70,0
80,Karaman,25984515B55022069390108,TUR,ADM1,81,TUR,265000,47700,19,51,1070,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
81,Kars,25984515B40631498613339,TUR,ADM1,82,TUR,275000,49500,14,38,607,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
82,Kastamonu,25984515B36972543372669,TUR,ADM1,83,TUR,380000,68400,19,46,970,Forest,4,0,1,0,0,0,0,0,0,0,0,0,0,70,0
83,Kayseri,25984515B43172796860329,TUR,ADM1,84,TUR,1450000,261000,76,75,2388,Urban,9,3,0,0,0,0,0,0,4,2,0,0,0,70,0
84,Kilis,25984515B30869354278170,TUR,ADM1,85,TUR,155000,27900,17,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
85,Kırıkkale,25984515B11362042972294,TUR,ADM1,86,TUR,285000,51300,44,56,1410,Plains,4,4,0,1,0,0,0,0,2,4,0,1,0,70,0
86,Kırklareli,25984515B10334298996421,TUR,ADM1,87,TUR,380000,68400,19,46,970,Forest,4,0,1,0,0,0,0,0,0,0,0,0,0,70,0
87,Kırşehir,25984515B83185192232063,TUR,ADM1,88,TUR,245000,44100,19,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
88,Kocaeli,25984515B86381770870747,TUR,ADM1,89,TUR,2100000,378000,125,92,3312,Urban,6,10,0,1,0,0,0,0,6,4,3,2,0,70,0
89,Konya,25984515B78139731385057,TUR,ADM1,90,TUR,2300000,414000,86,75,2628,Urban,25,1,0,0,5,0,0,0,4,2,0,0,0,70,0
90,Kütahya,25984515B47044460443496,TUR,ADM1,91,TUR,580000,104400,23,47,1040,Forest,6,0,7,0,0,2,0,0,0,0,0,0,0,70,0
91,Malatya,25984515B80837210717778,TUR,ADM1,92,TUR,810000,145800,52,58,1390,Plains,8,0,0,0,0,0,0,0,2,0,0,0,0,70,0
92,Manisa,25984515B19932594956901,TUR,ADM1,93,TUR,1470000,264600,74,74,1850,Plains,18,0,8,0,0,0,0,0,2,1,0,0,0,70,0
93,Mardin,25984515B30119007363221,TUR,ADM1,94,TUR,875000,157500,31,54,1270,Plains,8,0,0,0,0,0,0,0,1,0,0,0,0,70,0
94,Mersin,25984515B33535290178113,TUR,ADM1,95,TUR,1930000,347400,82,80,2772,Urban,18,2,0,1,0,0,0,0,5,1,3,1,0,70,0
95,Muğla,25984515B57226385500606,TUR,ADM1,96,TUR,1050000,189000,64,66,1892,Coastal,10,0,0,0,0,4,0,0,3,0,2,0,0,70,0
96,Muş,25984515B88478081264350,TUR,ADM1,97,TUR,400000,72000,18,39,622,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
97,Nevşehir,25984515B18723924091225,TUR,ADM1,98,TUR,310000,55800,21,52,1090,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
98,Niğde,25984515B59741408878569,TUR,ADM1,99,TUR,370000,66600,21,52,1090,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
99,Ordu,25984515B15602000155844,TUR,ADM1,100,TUR,760000,136800,37,61,1595,Coastal,9,0,0,0,0,0,0,0,1,0,1,0,0,70,0
100,Osmaniye,25984515B63638727958144,TUR,ADM1,101,TUR,560000,100800,25,53,1200,Plains,8,0,0,0,0,0,0,0,1,0,0,0,0,70,0
101,Rize,25984515B47778459062669,TUR,ADM1,102,TUR,350000,63000,16,39,622,Mountain,6,0,0,0,0,0,0,0,0,0,0,0,0,70,0
102,Sakarya,25984515B30494634933389,TUR,ADM1,103,TUR,1100000,198000,68,78,2448,Urban,6,1,0,0,0,0,0,0,4,3,0,0,0,70,0
103,Samsun,25984515B31080883995775,TUR,ADM1,104,TUR,1370000,246600,64,70,2079,Coastal,14,0,0,0,0,0,0,0,3,1,2,0,0,70,0
104,Siirt,25984515B34503670046284,TUR,ADM1,105,TUR,340000,61200,16,39,622,Mountain,4,0,0,3,0,0,0,0,0,0,0,0,0,70,0
105,Sinop,25984515B86660708585065,TUR,ADM1,106,TUR,220000,39600,27,59,1342,Coastal,7,0,0,0,0,0,0,0,1,0,0,0,0,70,0
106,Sivas,25984515B33997294820892,TUR,ADM1,107,TUR,650000,117000,27,53,1200,Plains,8,0,0,0,0,0,0,0,1,0,0,0,0,70,0
107,Tekirdağ,25984515B4318484465943,TUR,ADM1,108,TUR,1150000,207000,82,84,2592,Urban,14,1,3,0,0,0,0,0,4,1,2,0,0,70,0
108,Tokat,25984515B20532508270601,TUR,ADM1,109,TUR,600000,108000,27,53,1200,Plains,8,0,0,0,0,0,0,0,1,0,0,0,0,70,0
109,Trabzon,25984515B1589724669162,TUR,ADM1,110,TUR,820000,147600,55,47,907,Mountain,7,0,0,0,0,0,0,0,2,0,1,0,0,70,0
110,Tunceli,25984515B47484816256121,TUR,ADM1,111,TUR,85000,15300,10,35,525,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
111,Uşak,25984515B95251525471141,TUR,ADM1,112,TUR,380000,68400,21,52,1090,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
112,Van,25984515B28392380114016,TUR,ADM1,113,TUR,1150000,207000,45,52,960,Mountain,3,0,0,0,0,0,0,0,1,0,0,0,0,70,0
113,Yalova,25984515B60423683749854,TUR,ADM1,114,TUR,300000,54000,29,59,1573,Coastal,7,0,0,0,0,0,0,0,2,0,3,0,0,70,0
114,Yozgat,25984515B19658467647683,TUR,ADM1,115,TUR,420000,75600,23,52,1090,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
115,Zonguldak,25984515B41902751620989,TUR,ADM1,116,TUR,590000,106200,50,53,1280,Forest,3,8,18,0,0,0,0,0,2,0,1,0,0,70,0
116,Şırnak,25984515B41137800759750,TUR,ADM1,117,TUR,570000,102600,20,38,645,Mountain,3,0,0,5,0,0,0,0,0,0,0,0,0,70,0
117,Şanlıurfa,25984515B35512619552530,TUR,ADM1,118,TUR,2220000,399600,58,62,1760,Plains,22,0,0,1,0,0,0,0,2,1,0,0,0,70,0
